bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
"তেরখাদা উপজেলা স্টেডিয়াম শেখ রাসেল মিনি স্টেডিয়াম রোড, "
"দাওয়াত, "
নতনপাড়া রোড
"৯ নং তেঁতুলিয়া ইউনিয়ন পরিষদ, "
"একতা ভবন, "
বেকুটিয়া ব্রিজ রোড
"ডাচ-বাংলা ব্যাংক এজেন্ট অফিস, "
"চাষাড়া গোল চককর, "
"খেরুয়া মসজিদ, "
"রূপনগর, "
"কেশবপর উপজেলা, "
সিংগা
"ইসলামপুর রাবারবাগান মসজিদ, "
"কামলাঘাট, "
"সোনালী ব্যাংক লিমিটেড বৈদেশিক বাণিজ্য শাখা নারায়ণগঞ্জ, "
"বালিয়াকান্দি, "
"জনতা ব্যাংক বাংলাদেশ, "
"চর দুখিয়া, "
"অগ্রনী ব্যংক লিমিটেড, "
"সোমা ফার্মেসী, "
"সড়ক ৬/এ, "
"তামতা, "
"পশ্চিম মাদারবাড়ি সড়ক, "
"কালীবাড়ি বাজার, "
ডিসকো কামরুল বাড়ী রোড
"বীর উততম . কে. খনদকার সড়ক, "
"মদিনাবাগ জামে মসজিদ, "
"খিলগাও মডেল কলেজ, "
"সিডিএসপি বাজার জামে মসজিদ, "
"নাজির হাট, "
"এস. নজরুল ইসলাম সরণী, "
"মহিষবাথান, "
"মোতালেব মেডিকেল হল, "
"চাঙ্গিনী কেন্দ্রীয় জামে মসজিদ, "
"পুলিশ বক্স, "
"কলওয়ালা পাড়া, "
"পানির ট্যাংক, "
"শহীদুল্লাহ্ কায়সার পাদুকা মার্কেট, "
"মাওয়া ফেরি টার্মিনাল সড়ক, "
"হাজী ইজ্জত আলী মুন্সী বাড়ী সড়ক, "
"মসলিমবাগ সড়ক নং ৯, "
"ভবানীগঞ্জ, "
"রণচণ্ডি, "
"শরীনিবাসকাঠি - সলতানদিঘীর পাড়, "
"হেলালিয়া জামে মসজিদ, "
"সেক্টর ৩, "
"মেসার্স সরকার ফিলিং ষ্টেসন, "
"বাইতুস সালাত জামে মসিজদ, "
"ইন্দ্রাশন, "
"তালতলা বাজার, "
"বাতেন সাহেব বাড়ির বিপরীত গলি, "
"নামাজি পাড়া মসজিদ, "
"গ্রামীণ ব্যাংক মোকামতলা শাখা, "
"গোগরা, "
"পাড়িল সরকারি প্রাথমিক বিদ্যালয়, "
"প্যারিস রোড, "
"পদ্মা রেল স্টেশন, "
বিনপি বাজার আগারগাও পানির টযাংকি রোড
"জলঢাকা, "
"ব্যাংক, "
"ঢাকা অক্সফোর্ড ইন্টারন্যাশনাল কলেজ, "
"পাহাড়তলী, "
মা পাড়া বরিজ
"নবাবপর সড়ক, "
বিবিরহাট বাজার এক নাম্বার রোড
"মনোহরগঞ্জ, "
"শহিদ কযাপটেন মনসর আলী সড়ক, "
"িনাইদাহ-চয়াডাঙগা সড়ক, "
"জাহাঙ্গীরনগর বিশ্ববিদ্যালয়, "
"মাক্কী জামিয়া হাফিজিয়া মাদ্রাসা এবং এতিমখানা, "
"রহিমা ছাত্রাবাস, "
"শহীদ তাজউদ্দীন এভিনিউ, "
"আই বলক সড়ক ৫, "
"সাগরদিঘি, "
"নড়াইল, "
"জমজম সুইটস, "
"পাবনা - ঈশবরদী মহাসড়ক, "
"কাককরা বায়তুল মোকারম জামে মসজিদ, "
"কালা বারী মিয়া বারী জামে মসজিদ, "
Elishpur/
"সড়ক ১৪বি, "
"বলক ফ সড়ক ২১, "
"এশিয়ান ডেন্টাল কেয়ার, "
"ফলবাড়ী উপজেলা দিনাজপর, "
"চট্টগ্রাম বিশ্ববিদ্যালয় রেলওয়ে স্টেশন, "
লৎফর রহমান সড়ক বরিশাল
"আল আমিন টেলিকম ও লন্ড্রি, "
"ঢাকা-চটটগরাম মহাসড়ক, "
"পাথাইর, "
"শিতলিয়া রাস্তার মাথা, "
"আল-রাফী বিজনেস সেন্টার, "
"মাতুয়াইল বাস স্টপ, "
"মামা মামা বাজার, "
"টেকেরহাটি পরধান সড়ক, "
"অষটগরাম উপজেলা, "
"মিরপুর-১ ফুটওভার ব্রিজ, "
"ঢাকা-ফরিদপুর মহাসড়ক ঢাকা - ফরিদপুর মহাসড়ক, "
"বায়তুল মেহরান জামে মসজিদ, "
"সাফাহ হেলথ সেন্টার, "
"দেবীগঞ্জ মিনি স্টেডিয়াম, "
"বরিশাল, "
"গৈলা ইউনিয়ন, "
বড়ুয়া পাড়া সুন্দরপুর রোড এন্ড আজিমপুর রোড সংলগ্ন ছাগইল্যাপাড়া রোড
"পুরাপাড়া, "
"জামিআ হাকিমুল উম্মত, "
"এএসবি স্কুল, "
"ডি.ডি ফিলিং ষ্টেশন, "
আব্দুল বারিক ভুঁইয়া সড়ক
"শ্যামপুর আদর্শ থানা, "
"পানচর সেতু, "
বটতলার মোড়
"রাজশাহী শহর বাইপাস, "
"ঢাকা টরাঙক সড়ক, "
"কায়েতটুলি, "
"৪র্থ লেন, "
"গুলশান ২ গোলচক্কর, "
"হোসেনপুর উপজেলা খাসির হাট, "
"কার্ত্তিককূল, "
"চনপুর, "
আখিরা সেতু
"সেগন বাগান মাঠ লেন, "
"নাজিরপর ডালিমা সড়ক, "
"বরিশাল ষ্টীমার ঘাট, "
"মেসার্স নদীয়া ইলেকট্রনিক্স, "
"অর্জিত স্বাধীনতা, "
"পাইকেরছড়া, "
"বাউফল, "
"উপজেলা রিসোর্স সেন্টার মনোহরগঞ্জ, "
"রায়েরদিয়া, "
"হোটেল তাজবিন, "
"করাতিটোলা, "
"উত্তরণ, "
চাপারহাট ট তষভানডার রোড
"বালাপাড়া ইউনিয়ন, "
"হাজরা, "
"সুবলং, "
"সেনবাগ, "
"যাদবপুর, "
"হক বেকারি অ্যান্ড সুইটস, "
"বুড়িগঙ্গা মডেল স্কুল, "
"জনতা হাউজিং, "
"ঢাকা কটন মিল জামে মসজিদ, "
"মের্সাস তাহের ট্রেডার্স, "
"সি.সি.লি চাইনিজ এন্ড থাই রেস্টুরেন্ট স্টেডিয়াম, "
"স্বরূপকাঠী থানা, "
"ইচলী, "
"নবাবপুর সড়ক, "
"সড়ক নং-৯, "
মনতলা চৌরাঙ্গী রোড
বড়বাড়ী-লালমনিরহাট-বুড়িমারী সড়ক
"পাচই, "
"আলিয়া মাদরাসা জামে মসজিদ, "
"কাউয়ারখোপ, "
"জাবুসা, "
"বালুঘাট, "
"মোল্লার টেক স্কুল সড়ক, "
"বিশ্বনাথ, "
"আলম মার্কেট, "
"ঢাকা কেন্দ্রীয় কারাগার, "
"আল্পনা ক্লিনিক, "
"মনু মিয়া হাসপাতাল, "
"চর কাশেম, "
"পশ্চিম মনিপুর, "
"রোড নম্বর ২ পিসিকালচার হাউজিং সোসাইটি, "
"ব্র্যাক ব্যাংক অফিস, "
"পদুয়া বাজার, "
"প্রাইম ব্যাংক চক্ষু হাসপাতাল, "
"বিমলেরগাঁও, "
সারকিট হাউজ রোড
"বাসমতী রেস্তুরা, "
"উত্তরা মধ্য মেট্রোরেল স্টেশন, "
"মফিজ উদদিন সড়ক, "
"হামানকর্দি, "
"ঢাকপাড়, "
"ঢাকা উদ্যান, "
"জমির খান সড়ক, "
"ধনার চক, "
"কসাইটুলী ল্যান, "
"কচ্ছপিয়া, "
