,bn_phrases,en_translated,Unnamed: 0
405,"বুড়িগঙ্গা মডেল স্কুল, ","Buriganga Model School,",
406,"বাইতুন নাজাত জামে মসজিদ, ","Baitun Nazat Jame Mosque,",
407,"মাঠেরপাড় জামে মসজিদ, ","Jama Masjid in the field,",
408,"পটিয়া শিশু পার্ক, ","Patiya Children's Park,",
409,"আনন্দ বাজার জামে মসজিদ, ","Anand Bazar Jame Mosque,",
410,"মাওলানা ভাসানী সড়ক, ","Maulana Bhasani Road,",
411,"নূরুল্লাপুর, ","Nurullapur,",
412,"পশ্চিম ওমরপুর মসজিদ, ","West Omarpur Mosque,",
413,"ডাচ-বাংলা ব্যাংক লিমিটেড ফার্স্ট ট্র্যাক, ","Dutch-Bangla Bank Limited First Track,",
414,"বনশ্রী-ডেমরা সড়ক, ","Banasree-Demra Road,",
415,"বিজিবি ক্যাম্প, ","BGB Camp,",
416,"ইনানী-শামলাপুর সড়ক, ","Inani-Shamlapur Road,",
417,"আফরোজা বেগম সড়ক, ","Afroza Begum Road,",
418,"কুটুম রেস্তরা, ","Kutum restaurant,",
419,"মোহাম্মদিয়া ইলেক্ট্রিক, ","Mohammadia electric,",
420,"শাহ জালাল বস্ত্রালয়, ","Shah Jalal Clothing,",
421,"পায়রাবন্দ বেগম রোকেয়া স্মৃতি ডিগ্রী মহাবিদ্যালয়, ","Pigeon Begum Rokeya Memorial Degree College,",
422,"বাংলাদেশ ব্যাংক, ","Bangladesh Bank,",
423,"তানিবাঙ্গা, ","Tanibanga,",
424,"আদাবর থানা, ","Adabar police station,",
425,"পরশুরাম, ","Parasuram,",
426,"চান্দিনা, ","Chandina,",
427,"পশ্চিম ইসলামনগর ৩ নং গলি, ","West Islamnagar No. 4 lane,",
428,"সেক্টর ১১, ","Sector 1,",
429,"চকবাজার, ","Chawkbazar,",
430,"পচাইয়া, ",Digestive,
431,আলাইপুর ব্রিজ,Alaipur Bridge,
432,"শেখ রাসেল নগর পার্ক, ","Sheikh Russell Nagar Park,",
433,"লেন নম্বর ১৯, ","Lane number 1,",
434,"সড়ক ৯ ব্লক ১, ","Road 1 block 1,",
435,"রোড ৯, রফিক হাউজিং, ","Road 1, Rafiq Housing,",
436,"আই ব্লক সড়ক ৩, ","Eye block road 1,",
437,"আড়ফাঙ্গাশিয়া জামে মসজিদ, ","Herfangasia Jame Mosque,",
438,"পাইস্কা, ","Paiska,",
439,"হিজলী, ","Hijli,",
440,মোড়েলগঞ্জ টু সরনখোলা রোড,Morelganj to Sarankhola Road,
441,"মধ্য রসুলপুর ৪ নং গলি, ","Mid Rasulpur No. 4 lane,",
442,"রুপাতলী বাস টার্মিনাল, ","Rupatali bus terminal,",
443,"মুন্সীগঞ্জ-টংগীবাড়ী-মাওয়া সড়ক, ","Munshiganj-Tangibari-Mawa Road,",
444,"বাকেরগঞ্জ জে.এস.ইউ হাই স্কুল, ","Bakerganj JSU High School,",
445,"খাল পাড়া, ","Canal laid,",
446,"ইউনিভার্সিটি ওফ উইমেন ফেডারেশন কলেজ, ","University of Women Federation College,",
447,"জনতা মার্কেট, ","Janata Market,",
448,"কুষ্টিয়া সরকারি কলেজ, ","Kushtia Government College,",
449,"শিকারিকান্দি, ","Hunting,",
450,"আল মক্কা মসজিদ, ","Al -Mecca Mosque,",
451,"কেন্দুয়া বাজার মসজিদ, ","Kendua Bazar Mosque,",
452,"বেড়া শহীদ আঃ খালেক স্টেডিয়াম, ","Fence martyr A. Khalek Stadium,",
453,"কাজলা, ","Kajla,",
454,"বাসাবো ফুট ওভার ব্রিজ, ","Bridge over Basabo feet,",
455,"ঢাকা-নারায়ণগঞ্জ সড়ক, ","Dhaka-Narayanganj Road,",
456,"উত্তর সল্লা পাড়া, ","North Salla Para,",
457,"বেলকুচি, ","Balcony,",
458,"পাসপোর্ট অফিস সড়ক, ","Passport Office Road,",
459,"বালাইরকান্দি, ","Balaykandi,",
460,"সড়ক নং-১৭, ","Road No-1,",
461,"কালীগঞ্জ উপজেলা মাইক্রো/কার চালক সমিতি, ","Kaliganj Upazila Micro/Car Driver Association,",
462,"উত্তর রামপুর ফোরকানিয়া মাদ্রাসা, ","North Rampur Forkania Madrasa,",
463,"মার্কেন্টাইল ব্যাংক এটিএম, ","Mercantile Bank ATM,",
464,"বোর্ড বাজার, ","Board market,",
465,"দেবপুর, ","Devpur,",
466,"ঘোড়াখালী, ","Horseback,",
467,"সড়ক ১৫ সেক্টর ১, ","Road 1 Sector 1,",
468,"সারিকাইত, ","Surreous,",
469,"কালুনগর, ","Kalunagar,",
470,"জসিম উদ্দিন মেম্বার সড়ক, ","Jasim Uddin Member Road,",
471,"বরিশাল ষ্টীমার ঘাট, ","Barisal Stima Ghat,",
472,"বায়েজীদ বোস্তামী, ","Bayazid Bostami,",
473,"গোল-ই-আফরোজ সরকারি কলেজ, ","Gol-e-Afroz Government College,",
474,"বাংলাদেশ জুডিশিয়াল সার্ভিস কমিশন, ","Bangladesh Judicial Service Commission,",
475,"রৌমারী, ","Raumari,",
476,"সেনের বাজার, ","Sen's market,",
477,"রামগতি, ","Ramgati,",
478,"মহিলা পলিটেকনিক, ","Female Polytechnic,",
479,"বেলাবো, ","Belabo,",
480,"মতিঝিল সড়ক, ","Motijheel Road,",
481,"ফুরমোন পাহাড়, ","Furmon Hills,",
482,"জমির শাহ মার্কেট, ","Land Shah Market,",
483,"ইন্সটিটিউট অব লাইভস্টক সাইন্স অ্যান্ড টেকনোলজি, খুলনা, ","Institute of Livestock Science and Technology, Khulna,",
484,"স্টিল মিল বাজার বাস স্টপ, ","Steel Mill Market Bus Stop,",
485,করোনেশন আদর্শ উচ্চ বিদ্যালয় রোড,Coronation Ideal High School Road,
486,"সড়ক ৪, ","Road 1,",
487,"তামিরুল মিল্লাত মহিলা কামিল মাদরাসা, ","Tamirul Millat Female Kamil Madrasa,",
488,"বাংলাদেশ ব্যাংকের, ","Bangladesh Bank,",
489,"এভিনিউ-১, ","Avenue-1,",
490,"নাগেশ্বরী থানা, ","Nageshwari police station,",
491,"ইডেন মহিলা কলেজ, ","Eden Women's College,",
492,"চকবাজার সড়ক, ","Chawkbazar road,",
493,"কামরাঙ্গীরচর বেড়িবাঁধ, ","Kamrangirchar barricade,",
494,"কাশিপুর বাজার, ","Kashipur Bazar,",
495,"হুজুরপাড়া ২ নং গলি, ","Hujurpara No. 2 lane,",
496,"মাহিন জরি হাউস, ","Mahin Jori House,",
497,"চাক বস্তা, ","Sacrus sack,",
498,"হোসেন গার্মেন্টস, ","Hussein Garments,",
499,ভ্রম্মকোপালিয়া,Misdemeanor,
500,"দৈলবাড়ি, ",Dewy,
501,"জামুরকী বাজার, ","Jamurki Bazar,",
502,"বার্ডেম হাসপাতাল, ","Bardem Hospital,",
503,"চিনকি আস্তানা, ","Chinki Astana,",
504,"অনুশীলন সংসদ মাঠ, ","Practice Parliament Field,",
505,"ঢেউয়াতলী বাজার, ","The bhayatoli market,",
506,"পল্লবী মেট্রোরেল স্টেশন, ","Pallabi Metrorail Station,",
507,বেড়ীবাধ রোড,Hurry -road,
508,"সুন্দরপুর, আজিমপুর টাইগার ক্লাব রোড","Sundarpur, Azimpur Tiger Club Road",
509,"নানাখি বাজার, ","Nanakhi Market,",
510,"বিএনপি বাজার-আগারগাঁও পানির ট্যাংকি রোড, ","BNP Market-Agargaon Water Tanki Road,",
511,"ফ্যাশন চত্বর পুকুর পাড়, ","Fashion square ponds,",
512,"পোলের গোড়া মসজিদ ও ঈদগাহ, ","Poll's Gora Mosque and Eidgah,",
513,"ইউনাইটেড কমার্সিয়াল ব্যাংক লিমিটেড, ","United Commercial Bank Limited,",
514,"মজুমদার বাড়ী, ","Majumdar's house,",
515,"চান্দহর, ","Chandahar,",
516,"ফার্স্ট সিকিউরিটি ইসলামী ব্যাংক লিমিটেড, ","First Security Islami Bank Limited,",
517,"স্ট্যান্ডার্ড ব্যাংক লিমিটেড, খোলামোড়া, ","Standard Bank Limited, Open,",
518,"ঠাকুর মন্দির, ","Thakur Temple,",
519,"জামাল সওদাগার জেনারেল স্টোর, ","Jamal Saudagar General Store,",
520,"চৌধুরী পাড়া, ","Chowdhury Para,",
521,"ঢাকা মেডিক্যাল কলেজ হাসপাতাল, ","Dhaka Medical College Hospital,",
522,"বাঘমারা, ","Baghmara,",
523,"এ.কে. স্কুল অ্যান্ড কলেজ (২য় শাখা), ","A.K.School and College (2nd Branch),",
524,"রঙ্গেরগাঁও, ","Rangergaon,",
525,"উত্তর বাঘইল জামে মসজিদ, ","North Baghil Jame Mosque,",
526,"সেক্টর ৫, ","Sector 1,",
527,সিলেট-তামাবিল মহাসড়ক,Sylhet-Tamabil highway,
528,"উত্তর সিটি কর্পোরেশন অফিস, ","North City Corporation Office,",
529,"খুলনা কেন্দ্রীয় শহীদ মিনার, ","Khulna Central Shaheed Minar,",
530,"জাহাঙ্গীরপুর কেন্দ্রীয় বাজার, ","Jahangirpur Central Market,",
531,ওসমান খান সড়ক,Osman Khan road,
532,"নেয়ামতপুর দক্ষিণপাড়া জামে মসজিদ, ","Nayamatpur Dakshpara Jame Mosque,",
533,"পূর্ব ওমরপুর মসজিদ, ","East Omarpur Mosque,",
534,"ডিমলা কেন্দ্রীয় শহীদ মিনার, ","Dimla Central Shaheed Minar,",
535,"লালমনিরহাট পরিত্যক্ত বিমানাঙ্গন, ","Lalmonirhat abandoned airplane,",
536,"বীর শ্রেষ্ঠ চত্বর, ","The best square of heroes,",
537,"অগ্রণী ব্যাংক জালালাবাদ শাখা, ","Agrani Bank Jalalabad Branch,",
538,"সলিমাবাদ, ","Salimabad,",
539,অর্জুনা রোড,Arjuna Road,
540,"গাড়াগ্রাম, ","Garagram,",
541,মো: মুসলিম সড়ক,Md. Muslim Road,
542,"স্টাফ হোটেল এবং রেস্টুরেন্ট, ","Staff Hotel and Restaurant,",
543,"সময় খারখানাজ গলি/লস্কর গলি, ","Time Kharkhanj alley/Lashkar alley,",
544,"রিফাত ফার্মেসী, ","Rifat Pharmacy,",
545,"বাংলাদেশ দূর অনুধাবন প্রতিষ্ঠান (স্পারসো), ","Bangladesh Distance Institution (Sparso),",
546,"নাজাতুল উম্মাহ জামে মসজিদ, ","Nazatul Ummah Jame Mosque,",
547,"মধুপুর -টেংরী সড়ক, ","Madhupur -Tangri road,",
548,মুন্সিগঞ্জ-বেতকা-সিরাজদিখান সড়ক,Munshiganj-Betka-Sirajdikhan Road,
549,"সড়ক ৩০৫, ","Road 1,",
550,"সালেঙ্গা, ","Salenga,",
551,"বলিয়ারপুর, ","Boliarpur,",
552,"মুজিত টি স্টল, ","Mujit Tea Stall,",
553,"কর্ণপুর, ","Karnapur,",
554,"বি এ ডি সি জামে মসজিদ, ","BAD C Jame Mosque,",
555,"আগ্রণী ব্যংক লিমিটেড, ","Agrani Bank Limited,",
556,"সারপার কেন্দ্রীয় জামে-মসজিদ, ","Sarapar Central Jama-Masjid,",
557,"রাজকীয় সাইকেল হাউজ, ","The royal bike house,",
558,"চর ভাঙ্গা, ","To break the chars,",
559,"সড়ক ১৯এ, ","Road 1,",
560,"চামেলীবাগ জামে মসজিদ, ","Chamelibagh Jame Mosque,",
561,"বাস্তা, ","Reality,",
562,"জনসন সড়ক, ","Johnson Road,",
563,"শ্রী শ্রী রামকৃষ্ণ-সারদা সেবাশ্রম​, আনোয়ারা, ","Sri Sri Ramakrishna-Sarda Sevashram, Anwara,",
564,"ভূইয়া স্যাটেলাইট, ","Bhuiyan satellite,",
